MW305577.1	β.1.1.2.65
MZ292794.1	β.1.3.2.1
MF140668.1	β.1.1.2.27
LC122706.1	β.2.3.1.2
MH443711.1	β.2.3.3.2
KM198549.1	β.1.3.1.19
MW305486.1	β.2.6.2.7
LC122920.1	β.1.3.1.22
MH218726.1	β.2.2.1.3
PQ632216.1	β.2.2.2.1
MT256116.1	β.1.1.2.24
KM198531.1	β.1.3.1.19
NC_029647.1	β.1.9
OP729311.1	β.1.3.4.2
PV394766.1	β.1.1.2.11
MW305510.1	β.2.2.1.6
AB541325.1	β.1.1.2.58
OR702991.1	β.4.1.4.6
MK641589.1	β.1.3.1.16
KJ196291.1	β.1.13
OR951134.1	β.1.15
MZ462929.1	β.2.2.2.2
PP584624.1	β.2.2.2.1
NC_044853.1	β.2.4
MH218651.1	β.1.1.2.62
LC421228.1	β.1.1.2.18
OR397768.1	β.1.1.2.23
MW305576.1	β.1.3.1.12
LC209452.1	β.1.1.2.7
MW305628.1	β.1.1.2.8
LC122770.1	β.1.1.2.21
PQ182552.1	β.1.12
MH702280.1	β.1.1.2.38
LC122772.1	β.1.1.2.21
MH608285.1	β.1.1.2.67
MK956177.1	β.2.3.1.6
MW581012.1	β.1.1.2.14
MW305627.1	β.1.1.1.1
LC509011.1	β.1.5.1.1
MF140666.1	β.1.1.2.27
MK616560.1	β.1.1.2.10
MF140667.1	β.1.1.2.27
MT357994.1	β.2.6.2.1
LC769709.1	β.1.1.2.30
MT729788.1	β.1.1.2.73
MH218656.1	β.2.1.2.2
MK956173.1	β.2.1.5.3
MT089578.1	β.2.2.1.4
OR397779.1	β.1.1.2.23
AB447448.1	β.1.1.2.21
PQ678005.1	β.3.2.1
MK483908.2	β.1.1.2.47
MK301293.1	β.1.3.1.17
EU921388.2	β.1.1.2.58
NC_029645.1	β.4.1.5
LC122726.1	β.1.1.2.20
AB126320.1	β.1.5.1.2
MW305500.1	β.2.2.1.3
PV640830.1	β.2.3.1.2
KX158282.1	β.5
PQ100948.1	β.1.3.1.1
KR232647.2	β.1.1.11
OL757872.1	β.1.16
OR685283.1	β.1.1.3.2
MK753015.1	β.1.1.1.3
MG892946.3	β.1.1.2.30
L07418.1	β.2.1.2.3
MW945229.1	β.1.4.5.2
HV321704.1	β.1.1.2.21
MW305521.1	β.1.1.2.19
PV806172.1	β.1.3.1.1
MW305492.1	β.2.2.5
MT008454.1	β.2.3.3.2
KJ196282.1	β.1.1.2.20
MT451991.1	β.2.2.2.2
MH218659.1	β.2.2.1.3
MW305583.1	β.1.1.2.53
MW305487.1	β.2.3.2.2
PX919795.1	β.4.1.4.3
MW305489.1	β.2.2.1.6
LC122739.1	β.1.1.2.66
KX396056.1	β.2.2.1.2
MK753033.1	β.1.1.2.31
FJ692500.1	β.1.8
OR648672.1	β.2.3.2.1
MW305482.1	β.2.2.6.1
LC122703.1	β.2.3.1.2
MH218591.1	β.1.1.2.76
MF352144.1	β.1.1.6.1
NC_044047.1	β.1.8
LC122694.1	β.2.1.3.3
MK355712.1	β.1.1.2.10
JX846925.1	β.1.1.2.48
AJ011099.1	β.4.2.2
KF586507.1	β.2.7
MN908340.1	β.1.7.2.1
OR536442.1	β.1.3.1.11
MK733204.1	β.1.1.7
PQ195950.1	β.1.1.2.18
AB083780.1	β.1.1.5.6
PV174239.1	β.1.3.1.15
MH671553.1	β.1.1.1.3
MW661267.1	β.1.1.2.31
MW305648.1	β.1.3.1.14
MT008459.1	β.2.6.1.1
PQ310459.1	β.1.1.3.2
LC389583.1	β.1.4.4.3
OR792775.1	β.2.2.2.2
LC122704.1	β.2.3.1.2
LC769715.1	β.1.1.2.30
OP729312.1	β.1.3.4.2
LC122769.1	β.1.1.2.21
AY237415.2	β.1.1.2.45
MW305625.1	β.1.1.15
LC122720.1	β.2.6.1.3
AY823305.2	β.1.17
MW305591.1	β.1.1.3.3
PP645198.1	β.1.3.2.1
MT357991.1	β.2.1.5.1
AB187514.1	β.2.2.10
MG495080.1	β.1.1.11
MK956174.1	β.2.1.5.2
LC877032.1	β.1.3.1.1
MT008455.1	β.2.2.2.2
KC576915.1	β.1.1.2.25
MW305545.1	β.1.1.2.19
MW305499.1	β.2.3.1.5
MH218731.1	β.1.1.2.8
MW661269.1	β.1.1.2.31
AB039775.1	β.1.1.2.20
LC597120.1	β.1.1.2.8
LC122692.1	β.2.1.3.3
OP162342.1	β.2.5
MK752945.1	β.1.1.1.3
KJ194500.1	β.1.1.3.3
PQ195952.1	β.1.1.2.18
MT357898.1	β.2.6.2.1
OQ342793.1	β.1.1.5.1
MT256120.1	β.1.1.2.24
MG495081.1	β.1.1.9
MW305579.1	β.1.1.2.48
MW305581.1	β.1.3.1.24
KU311161.1	β.2.6.2.3
KC597139.1	β.1.1.2.68
LC122927.1	β.1.3.1.7
LC769682.1	β.1.1.2.30
MW305509.1	β.2.2.1.6
OR065073.1	β.1.1.4.3
MH218657.1	β.1.1.2.55
PQ632221.1	β.2.2.3.1
MT372476.1	β.2.2.6.1
LC122722.1	β.2.6.1.1
ON595846.1	β.1.4.4.1
PV920376.1	β.1.1.5.3
MT357899.1	β.2.6.2.1
MW305731.1	β.1.1.3.3
MW305508.1	β.2.6.1.2
LC122691.1	β.2.1.3.3
MK752944.1	β.1.1.1.3
MK067289.1	β.1.4.1.1
MW305699.1	β.1.1.2.49
MW305580.1	β.1.1.4.2
MK956178.1	β.2.1.2.2
OQ190312.1	β.1.1.5.1
MW662289.1	β.1.4.5.1
MT372464.1	β.2.1.2.1
AB039774.1	β.2.3.3.1
LC769702.1	β.1.1.2.11
MK764041.1	β.1.1.2.10
LC848163.1	β.2.2.2.1
MZ679045.1	β.4.3
LC122928.1	β.1.3.1.7
PV806173.1	β.1.3.1.1
LC122891.1	β.1.3.1.19
PQ593082.1	β.1.1.5.1
PZ043825.1	β.1.4.2.2
LC122723.1	β.2.6.1.1
OQ702254.1	β.1.3.1.19
MK753036.1	β.1.1.2.10
MW305722.1	β.1.3.1.16
MG551869.1	β.1.1.11
EU424333.1	β.1.3.4.1
OR065043.1	β.2.6.2.1
LC877034.1	β.1.3.1.1
MH218733.1	β.1.1.2.55
KY424348.1	β.1.3.1.6
KY887598.1	β.1.1.2.30
MW305725.1	β.1.1.3.4
MG706448.1	β.1.1.12
MW174170.1	β.3.3.3
MW305609.1	β.1.1.3.5
OR546392.1	β.1.3.2.1
LC122929.1	β.1.3.1.7
MG557648.1	β.2.2.1.12
LC122688.1	β.2.1.4
MT008453.1	β.2.1.5.2
MN416764.1	β.2.1.2.2
MW581004.1	β.1.1.2.14
KX907728.1	β.1.10
MW305578.1	β.1.1.2.48
PV920369.1	β.1.1.8
MW305592.1	β.1.1.3.3
MW661257.1	β.1.3.2.1
KF712503.1	β.1.1.2.39
PV418614.1	β.1.7.1
MK067293.1	β.1.4.3
PZ043826.1	β.1.4.4.3
KF429779.1	β.1.1.2.39
PQ273189.1	β.1.1.5.4
MF373609.1	β.1.6
PQ304632.1	β.1.1.2.33
MK588004.1	β.1.3.1.16
DQ366347.1	β.1.1.4.4
OP649638.1	β.2.7
PP087922.1	β.4.1.4.5
JX023286.1	β.1.1.2.15
KY887606.1	β.1.1.2.30
MW581007.1	β.1.1.2.14
MG495082.1	β.1.1.5.7
MG572182.1	β.1.1.2.47
PP661666.1	β.1.3.1.31
KP407450.1	β.2.2.6.1
OQ682536.1	β.1.3.5
MT372468.1	β.2.2.1.11
